28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEMV021;Rostock-Warnemünde;7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DEMV022;Rostock-Holbeinplatz;12;K;01.01.2017;27.05.2017;2;9;1;0;0;0;0;0;0;0;0;0
DEMV023;Schwerin-Obotritenring;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DEMV024;Leizen;6;K;01.01.2017;27.05.2017;0;6;0;0;0;0;0;0;0;0;0;0
DEMV025;Stralsund-Knieperdamm;11;K;01.01.2017;27.05.2017;4;7;0;0;0;0;0;0;0;0;0;0
DEMV026;Garz;7;K;01.01.2017;27.05.2017;3;4;0;0;0;0;0;0;0;0;0;0
DEMV028;Wismar;5;K;01.01.2017;27.05.2017;1;4;0;0;0;0;0;0;0;0;0;0
DEMV031;"Rostock-Hohe Düne";6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DENI011;Braunschweig;7;K;01.01.2017;27.05.2017;1;6;0;0;0;0;0;0;0;0;0;0
DENI016;Oker/Harlingerode;5;K;01.01.2017;27.05.2017;0;5;0;0;0;0;0;0;0;0;0;0
DENI020;Wolfsburg;7;K;01.01.2017;27.05.2017;1;6;0;0;0;0;0;0;0;0;0;0
DENI028;Eichsfeld;7;K;01.01.2017;27.05.2017;1;6;0;0;0;0;0;0;0;0;0;0
DENI029;Ostfriesland;9;K;01.01.2017;27.05.2017;4;5;0;0;0;0;0;0;0;0;0;0
DENI031;Jadebusen;6;K;01.01.2017;27.05.2017;1;5;0;0;0;0;0;0;0;0;0;0
DENI038;Osnabrück;7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DENI041;Weserbergland;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DENI042;Göttingen;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DENI043;Emsland;7;K;01.01.2017;27.05.2017;2;5;0;0;0;0;0;0;0;0;0;0
DENI048;"Hannover Verkehr";10;K;01.01.2017;27.05.2017;3;6;0;1;0;0;0;0;0;0;0;0
DENI051;Wurmberg;0;K;01.01.2017;27.05.2017;0;0;0;0;0;0;0;0;0;0;0;0
DENI052;Allertal;8;K;01.01.2017;27.05.2017;2;6;0;0;0;0;0;0;0;0;0;0
DENI053;Südoldenburg;10;K;01.01.2017;27.05.2017;4;6;0;0;0;0;0;0;0;0;0;0
DENI054;Hannover;8;K;01.01.2017;27.05.2017;2;6;0;0;0;0;0;0;0;0;0;0
DENI058;"Ostfries. Inseln";6;K;01.01.2017;27.05.2017;1;5;0;0;0;0;0;0;0;0;0;0
DENI059;Elbmündung;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DENI060;Wendland;4;K;01.01.2017;27.05.2017;0;4;0;0;0;0;0;0;0;0;0;0
DENI062;"Lüneburger Heide";4;K;01.01.2017;27.05.2017;0;4;0;0;0;0;0;0;0;0;0;0
DENI063;"Altes Land";4;K;01.01.2017;27.05.2017;0;4;0;0;0;0;0;0;0;0;0;0
DENI067;Osnabrück-Verkehr;10;K;01.01.2017;27.05.2017;4;6;0;0;0;0;0;0;0;0;0;0
